product_name,pharmacy,url
Rosuvastatina,Cruz Verde,https://www.cruzverde.cl/forlip-rosuvastatina-10-mg-30-comprimidos/297510.html
Elcald Plus,Cruz Verde,https://www.cruzverde.cl/elcal-d-plus-calcio-500-mg-vitamina-d-400-ui-60-capsulas/254533.html?srsltid=AfmBOoo0eOTaavQRdlwuO0y4AVuQ_jLkG3c6QNGb0PRI4S7bHfu9et5c
Progeva,Cruz Verde,https://www.cruzverde.cl/progeva-progesterona-200-mg-30-capsulas-blandas/296132.html?srsltid=AfmBOoqOL9A_XnyRlsR8_I1GIpgVTWjjkuRTINozqvY1A8r2uSZsT6oo
Hormogel,Cruz Verde,https://www.cruzverde.cl/hormogel-estradiol-05-mgds-gel-transdermico-35-gr-con-valvula-dosificadora/274371.html?gad_source=1&gclid=Cj0KCQjw2ou2BhCCARIsANAwM2FEvm5JKKOpMSWK2w8XEhf5uXiIiNPD3HpyVkeoF9DBu-QG7us7rcIaApeWEALw_wcB
Drovelis,Cruz Verde,https://www.cruzverde.cl/drovelis-drospirenona-3mg-estetrol-142mg-28-comprimidos-recubiertos/550945.html?srsltid=AfmBOormuSn1BbMs-xoXlAG3x9Hrpo3aQYyywBMqa3a-72PN3uq2ujyG
Hidroferol,Cruz Verde,https://www.cruzverde.cl/hidroferol-calcifediol-0266-mg-3-capsulas-blandas/385961.html?srsltid=AfmBOoo9r5AajQeTEzR2j8wDS74vS2Ww-U91rJ8LeRiBLLkM5bKOZtks
Vitamina D3 (Colecalciferol),Cruz Verde,https://www.cruzverde.cl/infor-vit-vitamina-d3-800-ui-30-comprimidos/289897.html
Vitamina D3 (Colecalciferol),Cruz Verde,https://www.cruzverde.cl/vitamina-d-800-ui-60-comprimidos/383902.html
Lenzetto,Cruz Verde,https://www.cruzverde.cl/lenzetto-estradiol-153-mgds-frasco-81-ml/293039.html?srsltid=AfmBOopjHKb_-L93gkQissmimSFPGNgsWcwPDsLWhMGjqGIE2pZhNTUA
Estreva,Cruz Verde,https://www.cruzverde.cl/estreva-gel-topico-01-50-g/11146.html?srsltid=AfmBOooURkNCvGvNR5gtUB4MmbFuELYKNT9v-3Xy2PjMyIgXJW94jNmn
Acuode Colecalciferol 50.000UI Polvo,Cruz Verde,https://www.cruzverde.cl/acuode-colecalciferol-05-gr-polvo-para-solucion-oral-2-sobres/289423.html?srsltid=AfmBOopJgxLPqr_XDmqteabh5LRdEceK3Dt0PjRA_RiggUztHfmNq4_S
Gestel 200mg,Cruz Verde,https://www.cruzverde.cl/gestel-progesterona-200-mg-30-capsulas-blandas/287846.html?srsltid=AfmBOoprg1ByUdWD7b8ryxGxHs2qFAPNNZ25Zm6OklFGUYNQokSe_Yu8
Donabel,Cruz Verde,https://www.cruzverde.cl/donabel-21-dienogest-2-mg-estradiol-valerato-1-mg-28-comprimidos-recubiertos/293828.html
Hormogel,Farmex,https://farmex.cl/products/hormogel-pump-gel-transdermico-0-5mg-x-35-g-silesia?srsltid=AfmBOort22ATcL8FyzegBitnzALmmJCjxPj1LqUpVBsd0tqM0LTJfHva
