date,name,pharmacy,price,lab_name,bioequivalent,is_available,active_principle,sku,web_name,url
2024-09-06,Progeva,Cruz Verde,18735,Itf Farma,,,,,Progeva Progesterona 200 mg 30 Capsulas Blandas,https://www.cruzverde.cl/progeva-progesterona-200-mg-30-capsulas-blandas/296132.html?srsltid=AfmBOoqOL9A_XnyRlsR8_I1GIpgVTWjjkuRTINozqvY1A8r2uSZsT6oo
2024-09-06,Progeva,Salcobrand,18743,,False,True,Progesterona,1720264,Progeva Progesterona 200mg 30 Cápsulas,https://salcobrand.cl/products/progeva-progesterona-natural-200-mg?srsltid=AfmBOoq9lcqQlrpXhOtjXjhdyY0KM8KZEOjC1_K74VQGzf1YuE34uEOc
2024-09-06,Progeva,Farmacias Ahumada,22145,Itf - Labomed,,False,Progesterona,,Progeva 200 mg x 30 Cápsulas Blandas,https://www.farmaciasahumada.cl/progeva-200-mg-x-30-capsulas-blandas-86961.html?srsltid=AfmBOoruBohyJOGvXEmsJ1YiGXX1IUhE6EPNUldNSfq2f34RufIV79e8
2024-09-06,Hormogel,Cruz Verde,18823,Silesia,,,,,"Hormogel Estradiol 0,5 mg/DS Gel Transdérmico 35 gr con Válvula Dosificadora",https://www.cruzverde.cl/hormogel-estradiol-05-mgds-gel-transdermico-35-gr-con-valvula-dosificadora/274371.html?gad_source=1&gclid=Cj0KCQjw2ou2BhCCARIsANAwM2FEvm5JKKOpMSWK2w8XEhf5uXiIiNPD3HpyVkeoF9DBu-QG7us7rcIaApeWEALw_wcB
2024-09-06,Hormogel,Farmex,17537,Silesia,,False,,7800020187070,"Hormogel Pump Gel Transdermico 0,5 mg x 35 g",https://farmex.cl/products/hormogel-pump-gel-transdermico-0-5mg-x-35-g-silesia?srsltid=AfmBOort22ATcL8FyzegBitnzALmmJCjxPj1LqUpVBsd0tqM0LTJfHva
2024-09-06,Hormogel,Salcobrand,18831,Laboratorio Andrómaco Farma.,False,True,Estradiol,3028594,Hormogel Pump Estradiol 0.5mg Gel Transdérmico 35g,https://salcobrand.cl/products/estradiol-0-1-topico-semisolido-1429a6a8-f299-4655-837a-354fbfd3e7a7?default_sku=3028594&gclid=CjwKCAjwkuqvBhAQEiwA65XxQM58ubie6n4zWlcqMCtRT-IaGv2sqe1D1Rt3hPqTPlcfXX-puTg9-RoCV3IQAvD_BwE
2024-09-06,Hormogel,El Búho,19990,Silesia,False,True,Estradiol,,Hormogel Pump 35 g Gel Transdérmico,https://www.buhochile.com/products/hormogel-pump-05-mg-dosis-35-g-gel-transdermico-silesia?productId=e1d2b430-99ee-4785-a114-53fec5f59b74
2024-09-06,Hormogel,El Químico,18990,Silesia,,True,Estradiol,1607628475518,"Hormogel Pum Gel Transdérmico 0,5mg",https://farmaciaelquimico.cl/products/hormogel-pum-gel-transdermico-0-5mg?srsltid=AfmBOoowigxqRufUqrN5jS1Lk8WhE9QSlQPbXXQD3h94Lt2oDf7VBzJV
2024-09-06,Hormogel,Farmacias Ahumada,21895,Silesia S.A.,,False,Estradiol,,"Hormogel Pump 0,5 mg/pulsación x 35 g Gel Transdérmico",https://www.farmaciasahumada.cl/hormogel-pump-0-5-mg-pulsacion-x-35-g-gel-transdermico-64702.html
2024-09-06,Hormogel,Farmacia Meki,17112,Silesia,False,False,Estradiol,,Hormogel Pump,https://farmaciameki.cl/producto/hormogel-pump-05-mg-silesia-0f21
2024-09-06,Drovelis,Cruz Verde,20319,Gedeon Richter,,,,,"Drovelis Drospirenona 3mg/ Estetrol 14,2mg 28 Comprimidos Recubiertos",https://www.cruzverde.cl/drovelis-drospirenona-3mg-estetrol-142mg-28-comprimidos-recubiertos/550945.html?srsltid=AfmBOormuSn1BbMs-xoXlAG3x9Hrpo3aQYyywBMqa3a-72PN3uq2ujyG
2024-09-06,Drovelis,Salcobrand,20327,Laboratorio Gedeon Richter Chile.,False,True,Drospirenona - Estetrol,585782,Drovelis Drospirenona / Estetrol 28 Comprimidos Recubiertos,https://salcobrand.cl/products/drovelis-drospirenona-estetrol-28-comprimidos-recubiertos?srsltid=AfmBOoptRyxI3ukdc-wTLtABfXaZMrp645sdWPpmHU9Am1hwCMvKo5GY
2024-09-06,Drovelis,Farmacias Ahumada,22845,Gedeon Richter Chile Spa,,False,Drospirenona-Estetrol Monohidrato,,Drovelis x 28 Comprimidos Recubiertos,https://www.farmaciasahumada.cl/drovelis-x-28-comprimidos-recubiertos-92615.html?srsltid=AfmBOooajAmHtpTW2CZCVTqQFMGuADAyOBx_vEqvt3HzP_QlyX7v54BB
2024-09-06,Hidroferol,Cruz Verde,26655,Faes Farma Chile,,,,,"Hidroferol Calcifediol 0,266 mg 3 Capsulas Blandas",https://www.cruzverde.cl/hidroferol-calcifediol-0266-mg-3-capsulas-blandas/385961.html?srsltid=AfmBOoo9r5AajQeTEzR2j8wDS74vS2Ww-U91rJ8LeRiBLLkM5bKOZtks
2024-09-06,Hidroferol,Eco Farmacias,21980,,,False,,8436024613421,"Hidroferol 0,266 Mg Calcifediol x 3 cápsulas",https://www.ecofarmacias.cl/producto/hiedroferol-0266-mg-calcifediol/
