date,name,pharmacy,web_name,is_available,price,bioequivalent,active_principle,sku,lab_name,url
2024-09-04,Hormogel,Farmex,"Hormogel Pump Gel Transdermico 0,5 mg x 35 g",False,$17.537,,,,,https://farmex.cl/products/hormogel-pump-gel-transdermico-0-5mg-x-35-g-silesia?srsltid=AfmBOort22ATcL8FyzegBitnzALmmJCjxPj1LqUpVBsd0tqM0LTJfHva
2024-09-04,Hormogel,Salcobrand,Hormogel Pump Estradiol 0.5mg Gel Transdérmico 35g,True,$18831.0,False,Estradiol,3028594,,https://salcobrand.cl/products/estradiol-0-1-topico-semisolido-1429a6a8-f299-4655-837a-354fbfd3e7a7?default_sku=3028594&gclid=CjwKCAjwkuqvBhAQEiwA65XxQM58ubie6n4zWlcqMCtRT-IaGv2sqe1D1Rt3hPqTPlcfXX-puTg9-RoCV3IQAvD_BwE
2024-09-04,Hormogel,El Búho,Hormogel Pump 35 g Gel Transdérmico,True,$19990,False,Estradiol,,Silesia,https://www.buhochile.com/products/hormogel-pump-05-mg-dosis-35-g-gel-transdermico-silesia?productId=e1d2b430-99ee-4785-a114-53fec5f59b74
2024-09-04,Hormogel,El Químico,"Hormogel Pum Gel Transdérmico 0,5mg",True,"$$18,990",,Estradiol,1607628475518,Silesia,https://farmaciaelquimico.cl/products/hormogel-pum-gel-transdermico-0-5mg?srsltid=AfmBOoowigxqRufUqrN5jS1Lk8WhE9QSlQPbXXQD3h94Lt2oDf7VBzJV
2024-09-04,Hormogel,farmacias ahumada,"Hormogel Pump 0,5 mg/pulsación x 35 g Gel Transdérmico",,$21.895,,ESTRADIOL,,Silesia S.A.,https://www.farmaciasahumada.cl/hormogel-pump-0-5-mg-pulsacion-x-35-g-gel-transdermico-64702.html
2024-09-04,Progendo 200mg,Farmex,Progendo 200 mg x 30 cápsulas,False,$21.990,,,,,https://farmex.cl/products/progendo-capsulas-blanda-progesterona?srsltid=AfmBOooJ5X8zqrvzLOZ3LbQWJVamqJQyyDscf_fIuKs8xlePiv1deKI3
2024-09-04,Progendo 200mg,El Búho,Progendo 200 Mg 30 Cápsulas Blandas,True,$20312,False,Progesterona Micronizada,,Abbott,https://www.buhochile.com/products/progendo-200-mg-30-capsulas-blandas-abbott?productId=96a6f19c-71fe-4cf4-b7da-dc5fde96fdbd
2024-09-04,Progendo 200mg,Salcobrand,Progendo 200mg 30 Cápsulas Blandas,True,$22351.0,False,Progesterona Micronizada,,,https://salcobrand.cl/products/progendo-200mg-30-capsulas-blandas?srsltid=AfmBOopzfM74hY3BJV-TTx2JCOP4KgXhguvYjQVmHHXPidOr3ugpHWLX
2024-09-04,Progendo 200mg,farmacias ahumada,Progendo 200 mg x 30 Cápsulas Blandas,,$26.995,,PROGESTERONA,,Lafi,https://www.farmaciasahumada.cl/progendo-200-mg-x-30-capsulas-blandas-47245.html?srsltid=AfmBOor4869Q795fHRTNTsoomsEJHFSxr4Y1-HTFRc_8zDQQ0qvaL3H-
2024-09-04,Progendo 200mg,Eco Farmacias,Progendo 200 mg x 30 Capsulas blandas,False,$18.990,,,7800026005392,,https://www.ecofarmacias.cl/producto/progendo-200-mg-x-30/
2024-09-04,Gestel 200mg,Farmex,"Gestel 200 mg x 30 caps ""Ley Cenabast""",False,$12.320,,,,,https://farmex.cl/products/gestel-200-mg-x-30-caps-ley-cenabast?srsltid=AfmBOooVMg_R_s8UIJn7wfprSShlLVswkFP3uOtg7bOjhTIRoW9PohPZ
2024-09-04,Gestel 200mg,El Búho,Gestel 200 Mg 30 Cápsulas Vaginales,True,$17512,False,Progesterona,,Exeltis,https://www.buhochile.com/products/gestel-200-mg-30-capsulas-vaginales-exeltis?productId=8c2348c3-36d4-4538-9efc-1c2c35134bd7
2024-09-04,Gestel 200mg,El Químico,Gestel Cápsulas Blandas 200mg Producto Cenabast,True,"$$13,800",,Progesterona,C1245,Exeltis,https://farmaciaelquimico.cl/products/gestel-capsulas-blandas-200mg?srsltid=AfmBOort0qkM4twZDgesx6X1YaxseitLP8Ab3b_3LAwuefWI_X2EJBsV
2024-09-04,Gestel 200mg,Dr Simi,Gestel Progesterona 200 mg - 30 Cápsulas Blandas,,$15.600,True,PROGESTERONA,BE0191,,https://www.drsimi.cl/gestel-200-mg-progesterona-micronizada/p
2024-09-04,Gestel 200mg,Eco Farmacias,Gestel 200 mg x30 Cápsulas Blandas,False,$13.860,,Progesterona micronizada,7804656600132,,https://www.ecofarmacias.cl/producto/gestel-capsulas-blandas-100-mg-progesterona/
2024-09-04,Progeva,Salcobrand,Progeva Progesterona 200mg 30 Cápsulas,True,$18743.0,False,Progesterona,,,https://salcobrand.cl/products/progeva-progesterona-natural-200-mg?srsltid=AfmBOoq9lcqQlrpXhOtjXjhdyY0KM8KZEOjC1_K74VQGzf1YuE34uEOc
2024-09-04,Progeva,farmacias ahumada,Progeva 200 mg x 30 Cápsulas Blandas,,$22.145,,PROGESTERONA,,Itf - Labomed,https://www.farmaciasahumada.cl/progeva-200-mg-x-30-capsulas-blandas-86961.html?srsltid=AfmBOoruBohyJOGvXEmsJ1YiGXX1IUhE6EPNUldNSfq2f34RufIV79e8
2024-09-04,Drovelis,Salcobrand,Drovelis Drospirenona / Estetrol 28 Comprimidos Recubiertos,True,$20327.0,False,Drospirenona - Estetrol,,,https://salcobrand.cl/products/drovelis-drospirenona-estetrol-28-comprimidos-recubiertos?srsltid=AfmBOoptRyxI3ukdc-wTLtABfXaZMrp645sdWPpmHU9Am1hwCMvKo5GY
2024-09-04,Drovelis,farmacias ahumada,Drovelis x 28 Comprimidos Recubiertos,,$22.845,,DROSPIRENONA-ESTETROL MONOHIDRATO,,Gedeon Richter Chile Spa,https://www.farmaciasahumada.cl/drovelis-x-28-comprimidos-recubiertos-92615.html?srsltid=AfmBOooajAmHtpTW2CZCVTqQFMGuADAyOBx_vEqvt3HzP_QlyX7v54BB
2024-09-04,Hidroferol,Eco Farmacias,"Hidroferol 0,266 Mg Calcifediol x 3 cápsulas",True,$21.980,,,8436024613421,,https://www.ecofarmacias.cl/producto/hiedroferol-0266-mg-calcifediol/
2024-09-04,Hidroferol,Salcobrand,Hidroferol 0.266 mg x 3 Cápsulas Blandas,True,$24239.0,False,Calcifediol,,,https://salcobrand.cl/products/hidroferol-0-266-mg-x-3-capsulas-blandas?srsltid=AfmBOoo3N-ny5si5xEx5V_UfejKprqxOOe9oEFzftj6WwUHHs9PGqJ2w
